12483756	220	12483756
12483765	221	12483765
12485367	222	12485367
12485376	223	12485376
12485637	224	12485637
12485673	225	12485673
12485736	226	12485736
12485763	227	12485763
12486357	228	12486357
12486375	229	12486375
12486537	230	12486537
12486573	231	12486573
12486735	232	12486735
12486753	233	12486753
12487356	234	12487356
12487365	235	12487365
12487536	236	12487536
12487563	237	12487563
12487635	238	12487635
12487653	239	12487653
12534678	240	12534678
12534687	241	12534687
12534768	242	12534768
12534786	243	12534786
12534867	244	12534867
12534876	245	12534876
12536478	246	12536478
12536487	247	12536487
12536748	248	12536748
12536784	249	12536784
12536847	250	12536847
12536874	251	12536874
12537468	252	12537468
12537486	253	12537486
12537648	254	12537648
12537684	255	12537684
12537846	256	12537846
12537864	257	12537864
12538467	258	12538467
12538476	259	12538476
12538647	260	12538647
12538674	261	12538674
12538746	262	12538746
12538764	263	12538764
12543678	264	12543678
12543687	265	12543687
12543768	266	12543768
12543786	267	12543786
12543867	268	12543867
12543876	269	12543876
12546378	270	12546378
12546387	271	12546387
12546738	272	12546738
12546783	273	12546783
12546837	274	12546837
12546873	275	12546873
12547368	276	12547368
12547386	277	12547386
12547638	278	12547638
12547683	279	12547683
